Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-45;>45;NO2 - ann. Avg.
Albania;AL;2.870;24,4;53,9;20,1;1,6;;;14,7
Andorra;AD;75;1,8;67,5;30,7;;;;18,1
Austria;AT;8.822;14,2;52,3;27,8;4,3;1,1;0,3;17,7
Belgium;BE;11.399;2,6;54,3;33,8;8,7;0,7;;20,4
Bosnia and Herzegovina;BA;3.500;29,2;57,4;13,0;0,4;;;13,9
Bulgaria;BG;7.050;10,5;49,1;36,9;3,4;;;19,0
Croatia;HR;4.105;30,0;55,7;13,2;1,1;;;13,8
Cyprus;CY;1.226;12,2;9,3;69,9;4,1;4,5;;23,5
Czechia;CZ;10.610;14,3;68,2;15,8;1,7;0,0;;15,5
Denmark (incl. Faroe Islands);DK;5.781;51,3;44,5;3,8;0,3;;;9,8
Estonia;EE;1.319;69,6;30,4;;;;;7,1
Finland;FI;5.513;61,6;35,7;2,7;;;;8,6
France (metropolitan);FR;64.738;31,4;42,9;17,1;4,8;2,2;1,6;15,9
Germany;DE;82.792;6,0;55,4;32,0;4,8;1,2;0,7;19,1
Greece;GR;10.741;17,0;38,0;22,2;17,2;3,0;2,6;21,0
Hungary;HU;9.778;11,6;65,2;19,2;3,5;0,4;;17,0
Iceland;IS;348;34,5;59,6;5,9;;;;10,4
Ireland;IE;4.830;48,3;41,0;9,0;1,7;;;11,0
Italy;IT;60.484;11,6;40,9;35,0;9,7;1,8;0,9;20,1
Latvia;LV;1.934;44,9;35,7;19,4;;;;11,9
Liechtenstein;LI;38;1,3;97,4;0,2;1,1;;;16,5
Lithuania;LT;2.809;34,2;60,3;4,4;1,1;;;12,3
Luxembourg;LU;602;6,8;47,6;34,6;8,5;2,4;;20,2
Malta;MT;476;52,0;38,4;9,6;;;;10,4
Monaco;MC;38;;3,4;75,1;21,5;;;25,0
Montenegro;ME;622;22,6;59,7;17,8;;;;15,0
Netherlands;NL;17.181;1,9;45,0;50,5;2,6;;;20,4
North Macedonia;MK;2.075;3,0;59,6;34,8;2,6;;;19,0
Norway;NO;5.296;54,3;36,7;7,7;1,2;;;10,0
Poland;PL;37.977;20,6;56,5;21,3;1,1;0,4;0,1;15,6
Portugal (excl. Azores, Madeira);PT;9.793;26,5;49,0;19,2;4,2;0,9;0,3;15,4
Romania;RO;19.531;11,4;50,8;26,8;9,2;0,7;1,0;19,3
San Marino;SM;34;6,1;89,3;3,5;1,0;;;14,4
Serbia (incl. Kosovo*);RS;8.800;12,0;60,2;26,5;1,3;0,0;;17,2
Slovakia;SK;5.443;13,3;77,3;8,5;0,9;;;14,8
Slovenia;SI;2.067;28,5;53,4;18,0;0,2;;;14,5
Spain (excl. Canarias);ES;44.481;13,4;46,1;26,2;10,9;2,7;0,7;19,4
Sweden;SE;10.120;64,4;33,2;2,0;0,4;;;8,7
Switzerland;CH;8.484;5,8;71,4;17,5;5,1;0,3;;17,6
Turkey;TR;80.811;24,2;9,8;26,2;21,6;6,6;11,6;25,9
United Kingdom (& Crown dep.);UK;66.525;9,3;53,1;30,5;5,5;0,7;0,9;18,8
Total;;621.122;17,8;45,2;25,8;7,4;1,8;2;19,2
Total without Turkey;;540.312;17;49,9;25,8;5,5;1,1;0,7;17,6
EU-28;;507.878;16,7;49,4;26,2;5,7;1,2;0,7;17,8
Kosovo*;KS;1.799;8,7;64,2;27,1;;;;17,0
Serbia (excl. Kosovo*);RS;7.001;12,8;59,2;26,4;1,6;0,0;;17,3
