Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-45;>45;NO2 - ann. Avg.
Albania;AL;2.892;14,0;47,1;35,3;3,6;;;18,1
Andorra;AD;78;1,0;26,6;72,5;;;;20,5
Austria;AT;8.576;9,2;43,3;40,9;4,8;1,4;0,3;19,8
Belgium;BE;11.237;2,1;52,6;31,8;12,2;1,2;0,1;20,9
Bosnia and Herzegovina;BA;3.825;22,3;49,7;27,3;0,7;;;16,2
Bulgaria;BG;7.202;17,8;57,3;23,4;1,5;;;16,1
Croatia;HR;4.225;21,0;43,3;33,8;1,5;0,5;;17,3
Cyprus;CY;1.173;34,5;51,1;10,1;4,3;;;14,1
Czechia;CZ;10.538;8,7;70,4;19,0;1,8;0,2;;16,6
Denmark (incl. Faroe Islands);DK;5.660;55,6;35,3;8,1;0,7;0,3;0;10,5
Estonia;EE;1.315;61,4;36,3;2,3;;;;8,2
Finland;FI;5.472;61,0;36,4;2,0;0,7;;;8,8
France (metropolitan);FR;64.344;28,2;39,9;17,5;9,8;2,3;2,4;17,9
Germany;DE;81.198;5,6;50,4;35,6;5,6;1,1;1,7;20,0
Greece;GR;10.858;27,6;33,6;18,4;17,1;0,8;2,5;18,1
Hungary;HU;9.856;9,2;64,9;15,0;10,1;0,4;0,4;18,0
Iceland;IS;329;31,4;63,3;5,1;0,2;;;11,9
Ireland;IE;4.629;71,0;25,7;2,9;0,4;;;7,6
Italy;IT;60.796;5,9;31,1;35,8;16,7;3,0;7,5;24,9
Latvia;LV;1.986;49,8;30,8;17,5;1,4;0,5;;12,1
Liechtenstein;LI;37;1,3;33,8;63,6;0,7;0,6;;20,5
Lithuania;LT;2.921;40,2;53,0;5,4;1,5;;;12,2
Luxembourg;LU;563;4,3;51,8;34,6;6,4;3;;19,9
Malta;MT;2069;4,6;63,1;29,9;2;;;18,1
Monaco;MC;429;9,4;75,5;10;5;;;16,5
Montenegro;ME;38;;;78,0;14,0;7,2;;29,7
Netherlands;NL;622;18,5;50,3;29,6;1,6;;;16,4
North Macedonia;MK;16.901;2,0;48,7;41,3;7,5;0,5;0;20,5
Norway;NO;5.166;43,4;39,2;14,8;1,8;0,8;;12,3
Poland;PL;38.006;18,2;59,5;20,5;1,1;0,4;0,3;15,6
Portugal (excl. Azores, Madeira);PT;9.870;26,9;47,5;19,9;4,3;0,9;0,6;15,7
Romania;RO;19.871;22,6;59,4;16,0;1,4;0,6;;14,9
San Marino;SM;33;5,3;90,2;1,8;3;;;16,2
Serbia (incl. Kosovo*);RS;8.919;13,1;51,1;34,1;1,5;0,2;;17,9
Slovakia;SK;5.421;7,1;72,5;18,6;1,5;0,3;;16,9
Slovenia;SI;2.063;23,1;47,8;23,0;5,3;0,9;;16,7
Spain (excl. Canarias);ES;44.323;10,8;41,7;28,0;14,8;3,3;1,3;21,2
Sweden;SE;9.747;45,5;47,6;6,3;0,6;;;10,8
Switzerland;CH;8.238;3,0;40,3;47,4;7,4;1,3;0,7;21,4
United Kingdom (& Crown dep.);UK;64.875;11,7;44,4;32,2;9,1;0,7;1,8;19,7
Total without Turkey;;536.303;15,8;46,1;27,0;7,9;1,3;1,8;18,8
EU-28;;504.055;15,8;46,1;26,7;8,2;1,4;1,9;18,9
Kosovo*;KS;1.805;14.8;65.2;20.0;1,9;0,3;;15.8
Serbia (excl. Kosovo*);RS;7.114;12.6;47.6;37.6;;;;18.4
