Year;Concentration;country_na
2016;5,812488968;Finland
2016;3,124831378;Norway
2016;0,050000001;Andorra
2016;10,74843367;Italy
2016;18,6217289;Monaco
2016;10,82364178;Malta
2016;10,43888378;San Marino
2016;35,03167343;Vatican City
2016;9,562374413;Croatia
2016;9,937415567;Albania
2016;7,183291942;Bosnia & Herzegovina
2016;4,561460935;Montenegro
2016;11,55895857;Serbia
2016;10,25306026;Greece
2016;9,874131813;Macedonia
2016;10,07352164;Kosovo
2016;11,7487079;Bulgaria
2016;;Portugal (Azores)
2016;6,629532134;Portugal
2016;27,46057892;Gibraltar
2016;6,257062763;Spain
2016;8,245785703;France
2016;;Svalbard
2016;5,124266697;Sweden
2016;6,435925272;Denmark
2016;4,596340453;Estonia
2016;5,625226735;Latvia
2016;6,437612989;Lithuania
2016;5,969009526;Belarus
2016;9,373382687;Poland
2016;12,2399948;Germany
2016;10,18663053;Czechia
2016;10,62640685;Slovakia
2016;10,93882653;Hungary
2016;10,37869388;Slovenia
2016;9,373113608;Austria
2016;13,58053493;Dragonja River Mouth
2016;8,631750326;Switzerland
2016;15,43383121;Liechtenstein
2016;15,54298933;Luxembourg
2016;20,77817934;Netherlands
2016;17,23722556;Belgium
2016;6,875296335;United Kingdom
2016;0,050000001;Jersey
2016;0,050000001;Guernsey
2016;5,812941733;Ireland
2016;0,050000001;Isle of Man
2016;0,050000001;Faroe Is
2016;1,559448308;Iceland
2016;0,050000001;Jan Mayen
2018;5,746136997;Russia
2018;8,877233775;Ukraine
2018;11,62260962;Romania
2018;10,90536228;Moldova
2018;2,258281169;Russia
2018;2,688054676;Finland
2018;0,050647432;Norway
2018;1,041609764;Andorra
2018;8,743642417;Italy
2018;19,91781998;Monaco
2018;16,8270163;Malta
2018;7,386626244;San Marino
2018;23,73952293;Vatican City
2018;8,067683792;Croatia
2018;9,062118589;Albania
2018;5,655577569;Bosnia & Herzegovina
2018;5,436577448;Montenegro
2018;9,939193567;Serbia
2018;11,50796302;Greece
2018;10,12961252;Macedonia
2018;11,6916785;Kosovo
2018;13,87061865;Bulgaria
2018;;Portugal (Azores)
2018;5,8741122;Portugal
2018;40,69074631;Gibraltar
2018;5,751235726;Spain
2018;6,7424149;France
2018;;Svalbard
2018;1,686333791;Sweden
2018;6,437843533;Denmark
2018;3,438501913;Estonia
2018;4,135581556;Latvia
2018;5,18872886;Lithuania
2018;4,063490239;Belarus
2018;9,125095832;Poland
2018;11,12132969;Germany
2018;9,684686367;Czechia
2018;9,373746832;Slovakia
2018;9,814821281;Hungary
2018;9,623550975;Slovenia
2018;8,809473239;Austria
2018;11,8456955;Dragonja River Mouth
2018;8,119027844;Switzerland
2018;14,8009243;Liechtenstein
2018;13,43750777;Luxembourg
2018;19,24006371;Netherlands
2018;16,24111303;Belgium
2018;5,874867753;United Kingdom
2018;0,050000001;Jersey
2018;0,225801513;Guernsey
2018;4,93682887;Ireland
2018;0,050000001;Isle of Man
2018;0,050000001;Faroe Is
2018;0,05031134;Iceland
2018;0,050000001;Jan Mayen
2020;4,21433845;Russia
2020;7,341924892;Ukraine
2020;13,06231477;Romania
2020;13,40916943;Moldova
2020;2,421849644;Russia
2020;3,092905211;Finland
2020;1,842947367;Norway
2020;0,050000001;Andorra
2020;9,246086486;Italy
2020;12,76984119;Monaco
2020;6,827593045;Malta
2020;9,474497795;San Marino
2020;21,91716385;Vatican City
2020;9,280135861;Croatia
2020;11,77934806;Albania
2020;8,405689665;Bosnia & Herzegovina
2020;7,844840802;Montenegro
2020;11,90494606;Serbia
2020;14,37652213;Greece
2020;13,69264899;Macedonia
2020;13,6957982;Kosovo
2020;14,68656074;Bulgaria
2020;;Portugal (Azores)
2020;5,436979907;Portugal
2020;24,8896389;Gibraltar
2020;5,122597409;Spain
2020;5,186683691;France
2020;;Svalbard
2020;2,843642155;Sweden
2020;5,281226741;Denmark
2020;3,21837013;Estonia
2020;3,984892048;Latvia
2020;5,155881414;Lithuania
2020;4,764224464;Belarus
2020;8,313662442;Poland
2020;9,127213924;Germany
2020;8,156951858;Czechia
2020;10,21975649;Slovakia
2020;11,3149572;Hungary
2020;9,942066589;Slovenia
2020;7,689040275;Austria
2020;12,16667557;Dragonja River Mouth
2020;6,313678439;Switzerland
2020;9,173645973;Liechtenstein
