Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-50;>50;PM10 ann. Avg.
Albania;AL;2.870;0,0;10,5;32,1;30,0;26,1;1,3;32,4
Andorra;AD;75;0,7;99,3;;;;;16,9
Austria;AT;8.822;2,8;50,1;47,1;;;;19,1
Belgium;BE;11.399;;40,4;59,6;;;;20,7
Bosnia and Herzegovina;BA;3.500;0,0;13,9;30,1;22,7;21,4;11,8;34,1
Bulgaria;BG;7.050;0,0;9,0;41,6;39,1;9,5;0,7;30,9
Croatia;HR;4.105;0,0;25,2;63,1;11,7;0,1;;23,9
Cyprus;CY;1.226;;0,1;20,7;70,8;8,3;0,1;32,5
Czechia;CZ;10.610;0,0;10,6;79,5;9,4;0,6;;24,8
Denmark (incl. Faroe Islands);DK;5.781;0,2;96,9;2,9;;;;16,9
Estonia;EE;1.319;3,0;96,5;0,5;;;;12,8
Finland;FI;5.513;45,6;53,7;0,8;;;;10,8
France (metropolitan);FR;64.738;1,4;80,5;17,4;0,6;;;17,0
Germany;DE;82.792;0,1;84,9;15,0;;;;18,1
Greece;GR;10.741;;25,0;33,3;32,9;7,4;1,4;28,0
Hungary;HU;9.778;;0,6;94,8;4,6;;;26,2
Iceland;IS;348;60,0;40,0;;;;;9,4
Ireland;IE;4.830;6,7;93,3;;;;;12,5
Italy;IT;60.484;0,3;20,1;61,9;17,6;;;24,1
Latvia;LV;1.934;0,1;67,4;22,7;9,7;;;19,2
Liechtenstein;LI;38;1,0;99,0;;;;;13,7
Lithuania;LT;2.809;;61,9;34,5;3,6;;;19,5
Luxembourg;LU;602;;94,0;6,0;;;;16,9
Malta;MT;476;;0,1;76,6;23,3;;;30,2
Monaco;MC;38;;78,5;21,5;;;;20,2
Montenegro;ME;622;0,2;18,0;32,4;46,2;0,2;3,0;29,2
Netherlands;NL;17.181;;81,0;19,0;;;;19,4
North Macedonia;MK;2.075;0,0;2,2;22,1;36,7;12,2;26,8;42,1
Norway;NO;5.296;41,4;53,2;5,4;;;;11,3
Poland;PL;37.977;;2,8;48,2;39,7;9,4;;30,3
Portugal (excl. Azores, Madeira);PT;9.793;0,8;75,1;21,2;2,9;;;17,4
Romania;RO;19.531;0,0;11,6;78,0;10,2;0,2;;24,9
San Marino;SM;34;;14,2;85,8;;;;20,8
Serbia (incl. Kosovo*);RS;8.800;0,0;3,8;17,7;27,0;48,6;2,8;37,8
Slovakia;SK;5.443;;2,6;93,5;3,9;;;24,9
Slovenia;SI;2.067;0,0;36,2;57,9;5,9;;;22,1
Spain (excl. Canarias);ES;44.481;0,8;53,2;44,6;1,2;0,1;0,0;19,5
Sweden;SE;10.120;26,2;69,5;4,3;;;;12,4
Switzerland;CH;8.484;6,5;91,6;1,9;;;;15,0
Turkey;TR;80.811;0,0;9,2;13,2;20,2;28,6;28,7;43,2
United Kingdom (& Crown dep.);UK;66.525;1,8;95,6;2,6;;;;15,3
Total;;621.122;1,8;49,3;30,2;9,7;5,3;3,7;23,4
Total without Turkey;;540.312;2,1;54,7;32,5;8,3;2,2;0,3;20,8
EU-28;;507.878;1,7;55,9;33,6;7,8;1,1;0,0;20,4
Kosovo*;KS;1.799;0,0;3,4;14,7;24,1;48,7;9,1;39,1
Serbia (excl. Kosovo*);RS;7.001;;3,9;18,4;27,7;48,6;1,3;37,4
