Country;ISO;Population [inhbs-1000];<5;5-10;10-15;15-20;20-25;>25;PM2.5 - ann. Avg.
Albania;AL;2.892;;0,9;11,8;28,3;47,1;12,0;20,5
Andorra;AD;78;0,2;1,6;98,2;;;;13,3
Austria;AT;8.576;0,4;10,1;60,2;29,3;;;13,3
Belgium;BE;11.237;;2,1;88,7;9,2;;;13,0
Bosnia and Herzegovina;BA;3.825;;4,3;21,7;30,0;35,7;8,3;18,9
Bulgaria;BG;7.202;;1,0;9,8;9,6;35,6;44,0;24,1
Croatia;HR;4.225;;3,1;30,3;32,7;33,9;;17,4
Cyprus;CY;1.173;;0,2;15,6;84,2;;;16,9
Czechia;CZ;10.538;;0,6;20,7;63,1;12,5;3,1;17,0
Denmark (incl. Faroe Islands);DK;5.660;0,4;51,8;47,8;;;;9,7
Estonia;EE;1.315;1,6;98,2;0,2;;;;6,7
Finland;FI;5.472;31,8;68,2;;;;;5,3
France (metropolitan);FR;64.344;0,0;19,8;70,2;10,0;;;11,9
Germany;DE;81.198;0,0;3,5;93,7;2,8;0,0;;12,3
Greece;GR;10.858;;1,1;26,9;30,1;25,3;16,6;19,1
Hungary;HU;9.856;;;0,4;71,9;27,6;0,0;18,9
Iceland;IS;329;37,1;62,9;;;;;5,5
Ireland;IE;4.629;10,6;89,4;;;;;6,5
Italy;IT;60.796;0,0;2,7;27,1;36,9;16,0;17,4;18,5
Latvia;LV;1.986;;49,3;32,0;18,7;;;10,6
Liechtenstein;LI;37;0,1;7,9;92,0;;;;11,0
Lithuania;LT;2.921;;16,6;83,4;;;;11,7
Luxembourg;LU;563;;6,1;93,9;;;;12,0
Malta;MT;2.069;;0,3;2,1;3,1;15,7;78,8;28,7
Monaco;MC;429;;0,3;99,7;;;;12,8
Montenegro;ME;38;;;100,0;;;;14,4
Netherlands;NL;622;;9,4;13,1;50,8;16,8;9,9;18,5
North Macedonia;MK;16.901;;0,3;99,7;;;;12,3
Norway;NO;5.166;38,4;55,2;6,4;;;;5,9
Poland;PL;38.006;;0,0;10,9;29,4;29,4;30,3;21,6
Portugal (excl. Azores, Madeira);PT;9.870;0,3;54,5;45,2;;;;9,8
Romania;RO;19.871;;0,4;16,6;52,2;30,3;0,6;18,1
San Marino;SM;33;;;14,6;85;;;16,2
Serbia (incl. Kosovo*);RS;8.919;;0,4;4,7;19,8;33,7;41,4;23,9
Slovakia;SK;5.421;;0,0;1,1;67,0;30,8;1,0;19,1
Slovenia;SI;2.063;;1,3;22,9;46,0;29,9;;17,4
Spain (excl. Canarias);ES;44.323;0,4;20,4;53,7;24,6;0,9;;12,7
Sweden;SE;9.747;37,2;60,8;2,0;;;;5,9
Switzerland;CH;8.238;0,9;12,2;84,8;2,2;;;11,8
United Kingdom (& Crown dep.);UK;64.875;0,9;57,5;41,5;0,0;;;9,4
Total without Turkey;;536.303;1,6;17,5;47,7;18,1;8,8;6,3;14,2
EU-28;;504.055;1,3;17,8;48,9;18,4;8,1;5,5;14,0
Kosovo*;KS;1.805;;0,1;5,4;11,6;11,9;71,0;26,4
Serbia (excl. Kosovo*);RS;7.114;;0,5;4,6;21,8;39,0;34,2;23,3
